clean_acc,backdoor_acc,confidence
0.1103,0.0,0.00893971249461174
0.1103,0.0,0.01033346652984619
0.1103,0.0,0.010815338045358659
0.1103,0.0,0.006684024631977081
0.1103,0.0,0.008986131101846696
0.1103,0.0,0.010567282140254975
0.1103,0.0,0.016301457583904267
0.1103,0.0,0.02008286714553833
0.1103,0.0,0.015397886931896209
0.1103,0.0,0.011319990456104278
0.1103,0.0,0.005980962514877319
0.1103,0.0,0.007151354849338531
0.1103,0.0,0.0055235370993614195
0.1103,0.0,0.002335756830871105
0.1103,0.0,0.002455718442797661
0.1103,0.0,0.00286160446703434
0.1103,0.0,0.00302077978849411
0.1103,0.0,0.002804518491029739
0.1103,0.0,0.003127448633313179
0.1103,0.0,0.0031955428421497345
0.1103,0.0,0.0019876698032021524
0.1103,0.0,0.0025966741144657136
0.1103,0.0,0.0019579984247684477
0.1103,0.0,0.0020179895684123038
0.1103,0.0,0.002839517965912819
0.1103,0.0,0.0012375080958008766
0.1103,0.0,0.001438884623348713
0.1103,0.0,0.002295451611280441
0.1103,0.0,0.0009535621851682663
0.1103,0.0,0.001330973021686077
0.1103,0.0,0.0018121510744094848
0.1103,0.0,0.0012937926687300206
0.1103,0.0,0.0014697008766233921
0.1103,0.0,0.0024247270077466963
0.1103,0.0,0.0007427858654409647
0.1103,0.0,0.0015405976213514806
0.1103,0.0,0.0012081130407750607
0.1103,0.0,0.0012095248326659202
0.1103,0.0,0.0014299606904387475
0.1103,0.0,0.0010407475754618644
0.1103,0.0,0.0013334551826119424
0.1103,0.0,0.001583229936659336
0.1103,0.0,0.0011603156104683875
0.1103,0.0,0.0013041090220212936
0.1103,0.0,0.001107232365757227
0.1103,0.0,0.00148576395586133
0.1103,0.0,0.0007305203471332788
0.1103,0.0,0.0005153669510036707
0.1103,0.0,0.0013880297541618348
0.1103,0.0,0.0026344301179051397
