clean_acc,backdoor_acc,confidence
0.4049,0.0,0.0904612421989441
0.4049,0.0,0.14724745750427246
0.4049,0.0,0.09926533699035645
0.4049,0.0,0.0802226722240448
0.4049,0.0,0.12678022384643556
0.4049,0.0,0.043511423468589785
0.4049,0.0,0.07806588411331176
0.4049,0.0,0.1386463761329651
0.4049,0.0,0.041015446186065674
0.4049,0.0,0.07028324604034424
0.4049,0.0,0.10612287521362304
0.4049,0.0,0.04275220930576325
0.4049,0.0,0.050488466024398805
0.4049,0.0,0.0808916449546814
0.4049,0.0,0.09444926977157593
0.4049,0.0,0.05353769659996033
0.4049,0.0,0.09751570820808411
0.4049,0.0,0.042553699016571044
0.4049,0.0,0.08825502395629883
0.4049,0.0,0.023828436434268952
0.4049,0.0,0.02728564739227295
0.4049,0.0,0.03629889488220215
0.4049,0.0,0.0036684002727270125
0.4049,0.0,0.03327810764312744
0.4049,0.0,0.0038804437965154646
0.4049,0.0,0.03223801851272583
0.4049,0.0,0.004677629470825196
0.4049,0.0,0.020983751118183135
0.4049,0.0,0.031085214018821715
0.4049,0.0,0.015439768135547639
0.4049,0.0,0.015152905881404877
0.4049,0.0,0.021556647121906282
0.4049,0.0,0.02255227416753769
0.4049,0.0,0.013422244787216186
0.4049,0.0,0.02461540699005127
0.4049,0.0,0.011963338404893876
0.4049,0.0,0.02538342773914337
0.4049,0.0,0.007292085886001587
0.4049,0.0,0.02896991968154907
0.4049,0.0,0.004701350629329681
0.4049,0.0,0.03522909879684448
0.4049,0.0,0.005748910084366799
0.4049,0.0,0.02830079197883606
0.4049,0.0,0.005542530864477158
0.4049,0.0,0.022892500460147857
0.4049,0.0,0.006581988930702209
0.4049,0.0,0.028553995490074157
0.4049,0.0,0.003580665588378906
0.4049,0.0,0.02405492067337036
0.4049,0.0,0.003920113295316696
